FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
29063,375.7,12342,29,13.5,87.8,10.3,1.2,0.8,0.4,41.2,-1111.1,31.5,-1111.1,23.5,6.9,1132,0,8.1,290,876,592,1,8,11,-2222,1,1,1,1
48253,375.5,19736,21,20.6,86.5,12.2,22.4,0.4,0.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3357,20.3,15.2,438,1109,949,1,18,18,52242,1,1,1,1
26061,375.3,35705,35,13.5,95.6,1.4,0.7,0.6,1.7,19.7,-1111.1,24.1,-1111.1,12.2,10.7,3808,86.8,47.6,1089,2064,2822,4,27,2,420370,1,1,1,1
02188,375.2,7621,0,17,13.1,0.1,5.6,83.6,1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,39.4,39.4,368,334,562,0,4,99,498749400,1,1,1,1
13167,375.1,9538,31,22.1,60,39.5,1.2,0,0.3,-1111.1,-1111.1,-1111.1,-1111.1,16.5,10.2,1539,21,21,218,570,524,1,5,3,-2222,1,1,1,1
08107,375.1,21313,9,6.3,97.7,0.5,3.7,0.5,0.5,10.8,-1111.1,10.9,16.3,16.9,0.7,2581,107.9,42.2,540,1602,1649,8,62,5,980440,1,1,1,1
48473,375.1,34821,68,17.5,71.7,26.5,22,0.6,0.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6090,14.4,14.4,901,1799,1746,0,18,19,12455,1,1,1,1
54071,375,7844,11,12.5,97,1.9,1.1,0.3,0.4,24.1,-1111.1,18.8,-1111.1,12.7,8.1,939,51,76.5,142,592,310,1,16,11,64821,1,1,1,1
48171,375,23088,22,10.8,98.6,0.4,16.9,0.5,0.2,-1111.1,-1111.1,18.5,-1111.1,16,5.8,2947,121.3,30.3,373,1308,941,1,24,4,273,1,1,1,1
26149,374.9,62984,125,11.5,95.2,2.6,5.9,0.4,0.6,26.6,77.8,35.9,26.7,27.5,12.5,8141,52.4,31.8,1965,3441,3867,7,31,2,1192362,1,1,1,1
46101,374.8,6637,13,9.3,84.8,0.3,1,11.8,1.2,21.2,77.5,25.8,25.7,22.5,8.8,734,0,45.2,194,370,247,2,7,5,-2222,1,1,1,1
